"filename", "language", "Markdown", "C++", "Django txt", "Python", "YAML", "comment", "blank", "total"
"/home/fernando/Code/CS_SLAM/CMakeLists.txt", "Django txt", 0, 0, 130, 0, 0, 0, 32, 162
"/home/fernando/Code/CS_SLAM/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 3, 6
"/home/fernando/Code/CS_SLAM/data/SensorsConfiguration.yaml", "YAML", 0, 0, 0, 0, 2, 0, 0, 2
"/home/fernando/Code/CS_SLAM/data/depth_sensor.txt", "Django txt", 0, 0, 19554, 0, 0, 0, 1, 19555
"/home/fernando/Code/CS_SLAM/data/dvl_linkquest.txt", "Django txt", 0, 0, 5565, 0, 0, 0, 1, 5566
"/home/fernando/Code/CS_SLAM/data/imu_adis.txt", "Django txt", 0, 0, 19966, 0, 0, 0, 1, 19967
"/home/fernando/Code/CS_SLAM/data/imu_xsens_mti.txt", "Django txt", 0, 0, 19554, 0, 0, 0, 1, 19555
"/home/fernando/Code/CS_SLAM/data/odometry.txt", "Django txt", 0, 0, 21844, 0, 0, 0, 1, 21845
"/home/fernando/Code/CS_SLAM/data/sonar_micron.txt", "Django txt", 0, 0, 45600, 0, 0, 0, 1, 45601
"/home/fernando/Code/CS_SLAM/data/sonar_seaking.txt", "Django txt", 0, 0, 97502, 0, 0, 0, 1, 97503
"/home/fernando/Code/CS_SLAM/data/tf.txt", "Django txt", 0, 0, 249132, 0, 0, 0, 1, 249133
"/home/fernando/Code/CS_SLAM/examples/cave.cpp", "C++", 0, 130, 0, 0, 0, 86, 21, 237
"/home/fernando/Code/CS_SLAM/include/MSCKF.h", "C++", 0, 49, 0, 0, 0, 1, 14, 64
"/home/fernando/Code/CS_SLAM/include/Atlas.h", "C++", 0, 25, 0, 0, 0, 0, 8, 33
"/home/fernando/Code/CS_SLAM/include/Converter.h", "C++", 0, 11, 0, 0, 0, 46, 14, 71
"/home/fernando/Code/CS_SLAM/include/Drawer.h", "C++", 0, 27, 0, 0, 0, 1, 9, 37
"/home/fernando/Code/CS_SLAM/include/EKF.h", "C++", 0, 40, 0, 0, 0, 1, 11, 52
"/home/fernando/Code/CS_SLAM/include/FrameDrawer.h", "C++", 0, 17, 0, 0, 0, 0, 5, 22
"/home/fernando/Code/CS_SLAM/include/Frames.h", "C++", 0, 30, 0, 0, 0, 1, 9, 40
"/home/fernando/Code/CS_SLAM/include/KeyFrame.h", "C++", 0, 33, 0, 0, 0, 8, 8, 49
"/home/fernando/Code/CS_SLAM/include/LocalMap.h", "C++", 0, 25, 0, 0, 0, 0, 6, 31
"/home/fernando/Code/CS_SLAM/include/LocalMapping.h", "C++", 0, 22, 0, 0, 0, 0, 7, 29
"/home/fernando/Code/CS_SLAM/include/LoopClosing.h", "C++", 0, 26, 0, 0, 0, 1, 5, 32
"/home/fernando/Code/CS_SLAM/include/MapDrawer.h", "C++", 0, 18, 0, 0, 0, 0, 5, 23
"/home/fernando/Code/CS_SLAM/include/MapPoint.h", "C++", 0, 16, 0, 0, 0, 1, 8, 25
"/home/fernando/Code/CS_SLAM/include/MeasurementPackage.h", "C++", 0, 27, 0, 0, 0, 5, 5, 37
"/home/fernando/Code/CS_SLAM/include/PoseGraph.h", "C++", 0, 24, 0, 0, 0, 4, 4, 32
"/home/fernando/Code/CS_SLAM/include/RandomVector.h", "C++", 0, 29, 0, 0, 0, 146, 34, 209
"/home/fernando/Code/CS_SLAM/include/ScanFormer.h", "C++", 0, 42, 0, 0, 0, 14, 18, 74
"/home/fernando/Code/CS_SLAM/include/SetParameters.h", "C++", 0, 11, 0, 0, 0, 0, 6, 17
"/home/fernando/Code/CS_SLAM/include/SonarDrawer.h", "C++", 0, 16, 0, 0, 0, 0, 5, 21
"/home/fernando/Code/CS_SLAM/include/System.h", "C++", 0, 60, 0, 0, 0, 3, 10, 73
"/home/fernando/Code/CS_SLAM/include/Utils.h", "C++", 0, 21, 0, 0, 0, 1, 6, 28
"/home/fernando/Code/CS_SLAM/include/Viewer.h", "C++", 0, 34, 0, 0, 0, 3, 13, 50
"/home/fernando/Code/CS_SLAM/plot.py", "Python", 0, 0, 0, 26, 0, 12, 7, 45
